"rank","persona_id","role","role_label","work_setting","life_stage","time_pressure","personal_priority","primary_goal","completed_first_value","wow_moment","love_score","use_again_score","family_time_back_resonance_score","outcome_tier","primary_pain_point"
"122","DEMO-TEST-SL-5000-FACILITY-0202","facility","Facility / CPO","municipal or school facility","late career or empty nest","protect dinner at home","avoid a weekend callback","run a daily pool check","true","true","90.2","89.9","87.9","strong_aha","facility completion packet needs richer evidence capture"
"123","DEMO-TEST-SL-5000-FACILITY-0966","facility","Facility / CPO","swim school","raising young children","protect dinner at home","protect customer or facility trust","document a dose","true","true","90.2","88.1","88.2","strong_aha","facility completion packet needs richer evidence capture"
"124","DEMO-TEST-SL-5000-FACILITY-0014","facility","Facility / CPO","municipal or school facility","sandwich caregiver","protect dinner at home","get home for dinner","respond to a contamination event","true","true","90.1","91.6","92.6","strong_aha","facility completion packet needs richer evidence capture"
"125","DEMO-TEST-SL-5000-FACILITY-0709","facility","Facility / CPO","hotel or resort","raising young children","school or daycare pickup","avoid a weekend callback","prepare an escalation packet","true","true","90.1","89.9","96.7","strong_aha","facility completion packet needs richer evidence capture"
"126","DEMO-TEST-SL-5000-FACILITY-0098","facility","Facility / CPO","apartment or HOA pool","sandwich caregiver","protect dinner at home","avoid a weekend callback","document a dose","true","true","90.1","88.9","93","strong_aha","facility completion packet needs richer evidence capture"
"127","DEMO-TEST-SL-5000-FACILITY-0818","facility","Facility / CPO","apartment or HOA pool","early career","elder-care responsibility","teach the next person faster","respond to a contamination event","true","true","90.1","88.9","87.1","strong_aha","facility completion packet needs richer evidence capture"
"128","DEMO-TEST-SL-5000-FACILITY-0853","facility","Facility / CPO","hotel or resort","late career or empty nest","second job or side work","protect customer or facility trust","run a daily pool check","true","true","90.1","87.3","87.4","strong_aha","facility completion packet needs richer evidence capture"
"129","DEMO-TEST-SL-5000-FACILITY-0054","facility","Facility / CPO","swim school","late career or empty nest","elder-care responsibility","protect customer or facility trust","record equipment proof","true","true","90","88.7","87.1","strong_aha","facility completion packet needs richer evidence capture"
"130","DEMO-TEST-SL-5000-FACILITY-0276","facility","Facility / CPO","apartment or HOA pool","sandwich caregiver","unpredictable on-call schedule","get home for dinner","prepare an escalation packet","true","true","90","85.2","97.4","strong_aha","facility completion packet needs richer evidence capture"
"131","DEMO-TEST-SL-5000-FACILITY-0760","facility","Facility / CPO","apartment or HOA pool","established family","school or daycare pickup","teach the next person faster","record equipment proof","true","true","89.9","90.4","86.8","strong_aha","facility completion packet needs richer evidence capture"
"132","DEMO-TEST-SL-5000-TECH-0310","tech","Service Tech","multi-tech service company","sandwich caregiver","second job or side work","feel confident without calling a boss","save visit proof","true","true","89.9","90.3","91.8","strong_aha","language or visual-step preference is absent from first use"
"133","DEMO-TEST-SL-5000-FACILITY-0244","facility","Facility / CPO","swim school","established family","school or daycare pickup","feel confident without calling a boss","run a daily pool check","true","true","89.9","89.5","87","strong_aha","facility completion packet needs richer evidence capture"
"134","DEMO-TEST-SL-5000-FACILITY-0069","facility","Facility / CPO","apartment or HOA pool","late career or empty nest","second job or side work","teach the next person faster","run a daily pool check","true","true","89.9","89.4","87","strong_aha","facility completion packet needs richer evidence capture"
"135","DEMO-TEST-SL-5000-FACILITY-0886","facility","Facility / CPO","hotel or resort","early career","school or daycare pickup","avoid a weekend callback","record equipment proof","true","true","89.9","88.7","92","strong_aha","facility completion packet needs richer evidence capture"
"136","DEMO-TEST-SL-5000-FACILITY-0132","facility","Facility / CPO","apartment or HOA pool","early career","school or daycare pickup","get home for dinner","respond to a contamination event","true","true","89.9","88.3","92","strong_aha","facility completion packet needs richer evidence capture"
"137","DEMO-TEST-SL-5000-FACILITY-0537","facility","Facility / CPO","swim school","late career or empty nest","elder-care responsibility","teach the next person faster","prepare an escalation packet","true","true","89.8","90.4","86.8","strong_aha","facility completion packet needs richer evidence capture"
"138","DEMO-TEST-SL-5000-FACILITY-0162","facility","Facility / CPO","apartment or HOA pool","established family","unpredictable on-call schedule","avoid a weekend callback","record equipment proof","true","true","89.8","86.6","92.2","strong_aha","facility completion packet needs richer evidence capture"
"139","DEMO-TEST-SL-5000-FACILITY-0629","facility","Facility / CPO","apartment or HOA pool","raising young children","school or daycare pickup","avoid a weekend callback","run a daily pool check","true","true","89.7","90.6","96.5","strong_aha","facility completion packet needs richer evidence capture"
"140","DEMO-TEST-SL-5000-TECH-0510","tech","Service Tech","multi-tech service company","sandwich caregiver","second job or side work","feel confident without calling a boss","save visit proof","true","true","89.7","88.5","91.9","strong_aha","value requires too many first-session decisions"
"141","DEMO-TEST-SL-5000-FACILITY-0009","facility","Facility / CPO","hotel or resort","sandwich caregiver","elder-care responsibility","teach the next person faster","respond to a contamination event","true","true","89.7","88.5","91.9","strong_aha","facility completion packet needs richer evidence capture"
"142","DEMO-TEST-SL-5000-FACILITY-0423","facility","Facility / CPO","swim school","late career or empty nest","protect dinner at home","avoid a weekend callback","document a dose","true","true","89.7","87.8","88.1","strong_aha","facility completion packet needs richer evidence capture"
"143","DEMO-TEST-SL-5000-FACILITY-0211","facility","Facility / CPO","fitness or medical facility","raising young children","school or daycare pickup","get home for dinner","record equipment proof","true","true","89.6","90.9","96.4","strong_aha","facility completion packet needs richer evidence capture"
"144","DEMO-TEST-SL-5000-FACILITY-0890","facility","Facility / CPO","hotel or resort","late career or empty nest","protect dinner at home","avoid a weekend callback","run a daily pool check","true","true","89.6","90.4","87.7","strong_aha","facility completion packet needs richer evidence capture"
"145","DEMO-TEST-SL-5000-FACILITY-0083","facility","Facility / CPO","apartment or HOA pool","early career","second job or side work","teach the next person faster","run a daily pool check","true","true","89.6","90.3","86.7","strong_aha","facility completion packet needs richer evidence capture"
"146","DEMO-TEST-SL-5000-TECH-0408","tech","Service Tech","commercial pool route","raising young children","second job or side work","avoid a weekend callback","avoid a wrong part order","true","true","89.6","90","96.6","strong_aha","service-tech start favors code lookup over the PartSnap fork"
"147","DEMO-TEST-SL-5000-FACILITY-0074","facility","Facility / CPO","apartment or HOA pool","early career","unpredictable on-call schedule","teach the next person faster","prepare an escalation packet","true","true","89.6","89.9","86.8","strong_aha","facility completion packet needs richer evidence capture"
"148","DEMO-TEST-SL-5000-TECH-0134","tech","Service Tech","repair-only specialist","raising young children","second job or side work","teach the next person faster","identify an equipment code","true","true","89.6","89","91.9","strong_aha","language or visual-step preference is absent from first use"
"149","DEMO-TEST-SL-5000-FACILITY-0053","facility","Facility / CPO","hotel or resort","late career or empty nest","second job or side work","feel confident without calling a boss","record equipment proof","true","true","89.6","88.9","86.9","strong_aha","facility completion packet needs richer evidence capture"
"150","DEMO-TEST-SL-5000-TECH-0663","tech","Service Tech","repair-only specialist","late career or empty nest","school or daycare pickup","feel confident without calling a boss","calculate a field dose","true","true","89.6","88.5","87","strong_aha","language or visual-step preference is absent from first use"
